email,create_count,delete_count,read_count,update_count
aabdttr@nbjcjk.com,0,0,0,1
aacpo@nnvimxk.com,0,1,0,0
aamcjpz@plrj.com,1,0,0,0
aamhuheq@gqrfk.com,0,1,0,0
aaqvljn@rqjdwh.com,1,0,0,0
aaxlumsq@mgbtng.com,0,1,0,0
aaxyuqybg@szgwna.com,0,1,0,0
aazwg@gtrreb.com,0,1,0,0
abdoo@yynn.com,0,0,0,1
abtrqyvom@gwgowz.com,1,0,0,0
abwfwbkh@ioofk.com,0,0,1,0
abybmygfmz@jzdb.com,0,1,0,0
acldwuhp@gcdmkz.com,1,0,0,0
acmzqff@kxmscbu.com,0,1,0,0
acpcnaxpw@dlhhxxc.com,1,0,0,0
acrbhvvvh@gaisxn.com,0,0,1,0
adidsg@oeydofa.com,0,0,1,0
adiqe@mszeqn.com,0,0,1,0
adtegli@ykmzv.com,0,1,0,0
adtxr@cck.com,0,1,0,0
aeato@lyfhl.com,0,1,0,0
aeconymqsj@dchcfq.com,0,0,1,0
aedkv@wojc.com,1,0,0,0
aeigjozemj@zoj.com,0,0,1,0
aejcwmaro@zpwq.com,0,1,0,0
aekusht@tgyxk.com,0,0,1,0
aelxwxe@nsv.com,1,0,0,0
aenele@oafmm.com,0,0,0,1
aevvthducy@ctz.com,0,0,1,0
aexzoqqm@jqpa.com,1,0,0,0
aezsvtriv@lji.com,0,0,1,0
affuse@wsd.com,0,1,0,0
afjsege@bnmesy.com,0,0,1,0
afkpk@itrh.com,0,0,1,0
aflqxhxeny@qyt.com,0,0,0,1
afougn@bjdtgbl.com,1,0,0,0
aftcm@goj.com,1,0,0,0
aftyoou@mckbpv.com,0,1,0,0
afyjjtg@juix.com,0,1,0,0
agbsome@ebz.com,1,0,0,0
agcjivi@pye.com,0,1,0,0
agkgadjoq@psmrnpn.com,0,0,0,1
agklqvr@gxjctm.com,0,0,1,0
agkrze@wmu.com,0,0,0,1
agnerpxf@jfawg.com,0,0,0,1
agpbdhvb@pdsk.com,0,0,1,0
agqfzc@tehz.com,0,0,0,1
agsnwnvuz@tmua.com,0,1,0,0
ahaxswpbgo@uxposef.com,0,1,0,0
ahkrfak@ncpvt.com,0,0,0,1
ahmivjreo@dorp.com,0,1,0,0
ahmqqnw@alhjb.com,0,0,1,0
ahxqpl@nxpx.com,0,0,1,0
aicvuf@vvx.com,0,1,0,0
aihmc@fusvb.com,0,1,0,0
aijddd@hpdmik.com,0,1,0,0
aijvf@rlnmzrl.com,0,0,1,0
aiqfsm@njefyfu.com,0,0,0,1
aisojl@rxisbk.com,0,0,0,1
aitydqangt@vhjjj.com,0,0,1,0
aiwrjzdeau@pnjpv.com,0,1,0,0
ajbzbb@dvqlu.com,0,0,0,1
ajeceq@pwt.com,0,0,0,1
ajgdlsxaj@ukzdhg.com,1,0,0,0
ajhsq@gjayfh.com,0,0,0,1
ajkgytdq@reyha.com,1,0,0,0
ajqixzlcg@fzkpk.com,0,0,0,1
ajuvzpyhk@dfl.com,0,0,1,0
ajwtbbubk@nnzv.com,0,1,0,0
ajzejrvort@edlhhqw.com,0,1,0,0
ajzovnv@weurwo.com,0,1,0,0
akijdapg@gaypn.com,0,1,0,0
akipax@iii.com,0,0,0,1
akntlmahqv@iaquobw.com,0,1,0,0
akprknw@oyihulc.com,0,1,0,0
aksqvvay@xsasrsm.com,0,0,0,1
aljdanor@yoxyr.com,0,1,0,0
alnpjvnd@uqmxd.com,1,0,0,0
alnwr@ddyxq.com,0,0,1,0
alsjye@zommp.com,0,0,1,0
alvdi@tgsfeeb.com,0,0,1,0
alxrzklfet@nuqz.com,0,0,0,1
ambaw@yvxrfsp.com,0,1,0,0
amemt@jyvbl.com,1,0,0,0
amssuhqub@jfcljen.com,0,0,1,0
amtpysssvm@rokq.com,0,0,0,1
anahw@frxahxu.com,1,0,0,0
anlrxrcjtg@subil.com,0,0,1,0
anoqisfupw@pgiydn.com,0,0,0,1
anuouddw@axfruz.com,0,0,1,0
aobbagxpn@gmvu.com,0,0,1,0
aocyne@qmuhuk.com,1,0,0,0
aodpf@ere.com,0,1,0,0
aofjco@svqo.com,0,0,0,1
aojokvje@pbwqa.com,0,0,0,1
apayse@izj.com,0,0,0,1
apeftoor@dfvqv.com,0,0,0,1
apres@luvti.com,0,0,1,0
apukjgziu@mwd.com,0,0,0,1
apunrp@khlj.com,0,0,1,0
apvvmkpwmt@gmuqab.com,0,0,0,1
apwdkaofxs@hck.com,0,1,0,0
apxrwpqwse@dun.com,0,1,0,0
apzhnvu@gcgjdfm.com,0,0,0,1
apzivp@kzk.com,0,0,1,0
apzzy@izpoj.com,0,1,0,0
aqjiq@vkl.com,0,0,0,1
aqkpkbkg@xxkh.com,0,1,0,0
aqmlmgza@ntolm.com,1,0,0,0
aqtgtqylax@hbft.com,1,0,0,0
arewpos@bfijkg.com,0,0,1,0
arjsd@ltlogfl.com,0,0,1,0
armtqqdi@jdth.com,0,0,0,1
arpbfvlfo@kwqlrzl.com,0,0,0,1
aryuvzbc@rmc.com,0,1,0,0
asemkgxap@mnmwkn.com,0,0,0,1
asfdaiaf@iafdf.com,1,0,0,0
asgazxrhf@fcms.com,0,0,1,0
ashggpqr@uzb.com,0,1,0,0
asvuiia@lnlf.com,1,0,0,0
aswotfwfql@dcwtcnj.com,0,0,0,1
asywqjgls@xpy.com,0,0,1,0
atbnjjeium@uwy.com,1,0,0,0
atcgjl@xvlqov.com,0,0,0,1
atksupkdq@kob.com,1,0,0,0
atkwcko@rxsczta.com,0,0,0,1
atlckhxnj@rpaafh.com,1,0,0,0
atldkzckcw@dffth.com,0,1,0,0
atxwgwlko@qrqn.com,0,0,0,1
atyrens@fsqvepa.com,0,0,1,0
augpk@mhfki.com,0,0,1,0
auipgbnofw@mfysb.com,1,0,0,0
aujjfmzfvq@lsjhbhh.com,0,0,1,0
aujltcs@ljh.com,0,1,0,0
auobsgkb@aqszzu.com,1,0,0,0
auwibgl@odemkry.com,1,0,0,0
auwstu@jcg.com,0,1,0,0
auzku@rpxcg.com,0,0,1,0
avbglkbjxd@xarx.com,0,0,0,1
avcme@omerax.com,0,0,0,1
avjvtekt@hkudoid.com,1,0,0,0
avuebholj@dfsfs.com,0,0,1,0
awdhrowp@dcg.com,0,0,1,0
awhtkdkh@wulojlu.com,0,0,0,1
awijzm@wwkjlrc.com,1,0,0,0
awkvvkv@jfnl.com,1,0,0,0
awpcl@ktphlhh.com,1,0,0,0
awpov@lmjjh.com,0,0,1,0
awtam@fdemg.com,1,0,0,0
awurdqr@qixqhvc.com,0,0,1,0
awzaxx@lvy.com,0,0,0,1
axamhcnk@urlt.com,0,0,0,1
axhfrd@pgdcj.com,1,0,0,0
axhmfnchor@gakh.com,1,0,0,0
axkobmp@dvky.com,1,0,0,0
axnbudib@askfvmh.com,0,1,0,0
ayaixg@muifjc.com,1,0,0,0
aybeag@wzf.com,0,1,0,0
aycfqwdaou@xcgy.com,1,0,0,0
aycqjcjo@gyz.com,1,0,0,0
ayiamlr@oas.com,0,0,0,1
ayzwbuotq@poq.com,1,0,0,0
azbdcbk@xkrh.com,1,0,0,0
azpomxxrmz@bgs.com,0,0,0,1
aztiir@seca.com,0,1,0,0
aztnrwgv@vnj.com,1,0,0,0
babab@tccp.com,0,0,0,1
baijipc@iow.com,0,1,0,0
balwm@ebu.com,0,0,1,0
baphm@rdp.com,1,0,0,0
bbekbnk@dozwpv.com,0,0,1,0
bbepif@ycbyba.com,0,1,0,0
bbkuxuc@rovzt.com,0,1,0,0
bbljqxna@hswom.com,0,1,0,0
bbrugjekq@frwna.com,0,0,0,1
bbvwewg@rbmrkx.com,0,0,1,0
bcdlacgp@avostgy.com,0,1,0,0
bcmquwh@wpmkbl.com,0,1,0,0
bcxioauunf@nkona.com,0,0,0,1
bcxjf@ftxvmj.com,0,0,1,0
bdfmfkxqm@mfkx.com,0,1,0,0
bdijeor@uqgwyz.com,1,0,0,0
